caseid_new,pp5_ppage,pp5_ppagecat,pp5_ppagect4,pp5_ppeduc,pp5_ppeducat,pp5_ppethm,pp5_ppgender,pp5_pphhhead,pp5_pphhsize,pp5_pphouse,pp5_ppincimp,pp5_ppmarit,pp5_ppcmdate_yrmo,pp5_newer,pp5_ppmsacat,pp5_ppreg4,pp5_ppreg9,pp5_pprent,pp5_ppt01,pp5_ppt25,pp5_ppt612,pp5_ppt1317,pp5_ppt18ov,pp5_ppwork,pp5_ppnet,ppmarit_2014,ppcmarit_2014_yrmo,ppmarit_2013,ppcmarit_2013_yrmo,ppmarit_2012,ppcmarit_2012_yrmo,ppmarit_2011,ppcmarit_2011_yrmo,ppmarit_2010,ppcmarit_2010_yrmo,ppmarit_2009,ppcmarit_2009_yrmo,ppmarit_2007,ppcmarit_2007_yrmo
4257453,51,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$40,000 to $49,999",Divorced,200904.0,No,non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,,,Divorced,200904.0,Divorced,200710.0
4258275,33,25-34,30-44,"Some college, no degree",Some college,"Black, Non-Hispanic",Male,0,6,A one-family house detached from any other house,"$20,000 to $24,999",Never married,201306.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,1,5,Working - as a paid employee,Yes,,,Never married,201306.0,Never married,201206.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200806.0
4259731,78,75+,60+,12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201405.0,Married,201305.0,Married,201209.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200711.0
4260742,79,75+,60+,"Some college, no degree",Some college,Hispanic,Female,1,1,A one-family house detached from any other house,"$30,000 to $34,999",Widowed,201002.0,No,Metro,West,Mountain,rented for cash,0,0,0,0,1,Not working - retired,Yes,,,,,,,,,,,Widowed,201002.0,Widowed,200710.0
4261311,37,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,0,4,A one-family house detached from any other house,"$25,000 to $29,999",Married,201405.0,Yes,non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,1,0,3,Not working - disabled,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200801.0
4262255,31,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,201404.0,Yes,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201404.0,Living with partner,201305.0,Living with partner,201208.0,Living with partner,201107.0,Living with partner,201101.0,Never married,200905.0,Never married,200710.0
4263381,44,35-44,30-44,Associate degree,Some college,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$75,000 to $84,999",Divorced,201409.0,Yes,Metro,Northeast,Mid-Atlantic,rented for cash,0,0,1,1,2,Working - as a paid employee,Yes,Divorced,201409.0,Divorced,201308.0,,,,,Married,201008.0,Married,200904.0,Married,200711.0
4264415,46,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,0,3,A one-family house detached from any other house,"$50,000 to $59,999",Never married,201002.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,,,,,,,,,,,Never married,201002.0,Never married,200711.0
4265461,52,45-54,45-59,Associate degree,Some college,Hispanic,Male,1,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,201405.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201306.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200905.0,Married,200712.0
4266721,78,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$35,000 to $39,999",Married,200801.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,,,Married,200801.0
4267494,55,55-64,45-59,9th grade,Less than high school,"White, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$7,500 to $9,999",Divorced,201109.0,No,Metro,South,South Atlantic,rented for cash,0,0,0,1,1,Not working - other,No,,,,,,,Divorced,201109.0,Separated,201010.0,Separated,201002.0,Separated,200710.0
4268195,25,25-34,18-29,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,3,A building with 2 or more apartments,"$150,000 to $174,999",Never married,200904.0,No,Metro,Northeast,Mid-Atlantic,rented for cash,0,0,0,0,3,Working - as a paid employee,Yes,,,,,,,,,,,Never married,200904.0,Never married,200801.0
4269595,65,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$25,000 to $29,999",Never married,201007.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,Never married,201007.0,Never married,200904.0,Never married,200710.0
4270851,90,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A one-family house attached to one or more houses,"$60,000 to $74,999",Married,201405.0,Yes,Metro,South,South Atlantic,rented for cash,0,0,0,0,2,Not working - retired,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
4271215,27,25-34,18-29,Associate degree,Some college,Hispanic,Male,0,3,A one-family house detached from any other house,"$75,000 to $84,999",Never married,201404.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Not working - looking for work,Yes,Never married,201404.0,Never married,201305.0,Never married,201206.0,Never married,201106.0,Living with partner,201007.0,Never married,200904.0,Never married,200710.0
4273411,47,45-54,45-59,10th grade,Less than high school,"White, Non-Hispanic",Male,0,3,A one-family house detached from any other house,"$40,000 to $49,999",Divorced,201106.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,3,Not working - looking for work,Yes,,,,,,,Divorced,201106.0,,,Married,200904.0,Married,200809.0
4274443,50,45-54,45-59,"Some college, no degree",Some college,"Other, Non-Hispanic",Male,0,1,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,201404.0,Yes,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Living with partner,201404.0,Divorced,201305.0,Divorced,201206.0,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Divorced,200808.0
4275581,64,55-64,60+,Bachelors degree,Bachelor's degree or higher,Hispanic,Female,1,4,A one-family house detached from any other house,"$150,000 to $174,999",Married,201404.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,4,Not working - retired,Yes,Married,201404.0,Married,201309.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200712.0
4276672,73,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$7,500 to $9,999",Widowed,201007.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,,,,,,,,,Widowed,201007.0,Widowed,200904.0,Widowed,200711.0
4277553,61,55-64,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,0,1,A mobile home,"$10,000 to $12,499",Divorced,200904.0,No,Metro,West,Pacific,Occupied without payment,0,0,0,0,1,Working - self-employed,Yes,,,,,,,,,,,Divorced,200904.0,Divorced,200710.0
4278431,49,45-54,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$150,000 to $174,999",Married,201409.0,Yes,Metro,Northeast,New England,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201409.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201008.0,Married,200904.0,Married,200710.0
4279525,58,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Female,1,1,A one-family house attached to one or more houses,"$40,000 to $49,999",Never married,201406.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,Never married,201406.0,Never married,201305.0,Never married,201206.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
4280781,84,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$20,000 to $24,999",Married,201405.0,Yes,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201405.0,Married,201305.0,Married,201207.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
4281244,30,25-34,30-44,"Some college, no degree",Some college,Hispanic,Female,1,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,201207.0,No,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,,,Married,201207.0,Married,201109.0,Married,201009.0,Divorced,200904.0,Separated,200710.0
4284351,40,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Male,0,4,A one-family house detached from any other house,"$30,000 to $34,999",Married,201311.0,Yes,Metro,South,West-South Central,Occupied without payment,0,0,2,0,2,Working - as a paid employee,Yes,,,Married,201311.0,Married,201206.0,Married,201108.0,Married,201007.0,Married,200905.0,Married,200804.0
4285395,45,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,0,2,A one-family house detached from any other house,"$20,000 to $24,999",Never married,201404.0,Yes,Metro,Midwest,East-North Central,rented for cash,0,0,0,1,1,Not working - disabled,Yes,Never married,201404.0,Never married,201305.0,Never married,201206.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200801.0
4287561,62,55-64,60+,9th grade,Less than high school,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$20,000 to $24,999",Married,201007.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,1,0,2,Not working - disabled,Yes,,,,,,,,,Married,201007.0,Married,200904.0,Married,200711.0
4288421,47,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,5,A one-family house detached from any other house,"$40,000 to $49,999",Married,201404.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,1,2,2,Not working - disabled,Yes,Married,201404.0,Married,201306.0,Married,201208.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
4289621,67,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,201007.0,No,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,Married,201007.0,Married,200904.0,Married,200710.0
4290441,50,45-54,45-59,Associate degree,Some college,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,200904.0,No,non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Married,200904.0,Married,200710.0
4291361,42,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$15,000 to $19,999",Married,200904.0,No,non-Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,No,,,,,,,,,,,Married,200904.0,Married,200710.0
4292206,25,25-34,18-29,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$25,000 to $29,999",Living with partner,200904.0,No,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - other,Yes,,,,,,,,,,,Living with partner,200904.0,Living with partner,200809.0
4293435,48,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$10,000 to $12,499",Living with partner,201206.0,No,Metro,Midwest,West-North Central,rented for cash,0,0,0,1,1,Working - self-employed,Yes,,,,,Living with partner,201206.0,Never married,201109.0,Never married,201007.0,Never married,200907.0,Living with partner,200903.0
4294205,26,25-34,18-29,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,0,5,A one-family house detached from any other house,"$40,000 to $49,999",Never married,201401.0,Yes,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,2,0,3,Not working - disabled,Yes,,,Never married,201401.0,,,,,Never married,201007.0,Never married,200904.0,Never married,200711.0
4295471,53,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,200905.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,,,,,,,,,,,Married,200905.0,Married,200710.0
4296483,54,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$30,000 to $34,999",Divorced,200904.0,No,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - looking for work,No,,,,,,,,,,,Divorced,200904.0,Divorced,200710.0
4297541,60,55-64,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$60,000 to $74,999",Married,201208.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,4,Not working - disabled,Yes,,,,,Married,201208.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200806.0
4298443,49,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A one-family house attached to one or more houses,"$30,000 to $34,999",Divorced,201209.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,1,Working - self-employed,Yes,,,,,Divorced,201209.0,Divorced,201108.0,,,Divorced,200905.0,Divorced,200806.0
4299381,44,35-44,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$100,000 to $124,999",Married,201404.0,Yes,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,1,3,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
4300261,32,25-34,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,0,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,201208.0,No,Metro,South,West-South Central,Occupied without payment,0,1,0,0,2,Working - as a paid employee,Yes,,,,,Married,201208.0,Married,201107.0,Married,201007.0,Married,200905.0,Married,200801.0
4301465,51,45-54,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,0,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,201107.0,No,Metro,South,South Atlantic,Occupied without payment,0,0,0,0,1,Working - self-employed,Yes,,,,,,,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
4302361,41,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$40,000 to $49,999",Married,201107.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,2,0,2,Working - as a paid employee,Yes,,,,,,,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
4304205,26,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$175,000 or more",Married,201404.0,Yes,Metro,Northeast,New England,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,Married,201404.0,Never married,201304.0,Living with partner,201206.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
4305691,75,75+,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$35,000 to $39,999",Married,201007.0,No,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,Married,201007.0,Married,200905.0,Married,200808.0
4306371,43,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,3,A one-family house attached to one or more houses,"$20,000 to $24,999",Married,200904.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,1,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Married,200904.0,Married,200710.0
4307423,48,45-54,45-59,12th grade NO DIPLOMA,Less than high school,"Other, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"Less than $5,000",Never married,201404.0,Yes,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,3,Not working - disabled,No,Never married,201404.0,Separated,201305.0,Never married,201206.0,Never married,201106.0,Divorced,201007.0,Divorced,200904.0,Divorced,200803.0
4308551,61,55-64,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200905.0,Married,200710.0
4309505,56,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A one-family house attached to one or more houses,"$25,000 to $29,999",Never married,200904.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - disabled,Yes,,,,,,,,,,,Never married,200904.0,Never married,200710.0
4312325,38,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$30,000 to $34,999",Living with partner,201007.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,1,2,Working - as a paid employee,No,,,,,,,,,Living with partner,201007.0,Never married,200905.0,Never married,200805.0
4313491,55,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A mobile home,"$20,000 to $24,999",Married,201404.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - disabled,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201108.0,Married,201007.0,Married,200905.0,Married,200710.0
4314411,47,45-54,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,8,A one-family house detached from any other house,"$125,000 to $149,999",Married,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,1,1,4,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
4315281,34,25-34,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$50,000 to $59,999",Married,201007.0,No,Metro,South,South Atlantic,rented for cash,0,1,1,0,2,Working - as a paid employee,Yes,,,,,,,,,Married,201007.0,Married,200904.0,Married,200803.0
4316396,44,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$40,000 to $49,999",Divorced,201008.0,No,non-Metro,Midwest,West-North Central,rented for cash,0,0,0,0,3,Not working - looking for work,Yes,,,,,,,,,Divorced,201008.0,Living with partner,201002.0,Living with partner,200804.0
4317556,61,55-64,60+,9th grade,Less than high school,"2+ Races, Non-Hispanic",Female,1,2,A mobile home,"$35,000 to $39,999",Married,201405.0,Yes,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - disabled,Yes,Married,201405.0,Living with partner,201305.0,Married,201206.0,Living with partner,201107.0,,,Living with partner,200904.0,Living with partner,200711.0
4318573,63,55-64,60+,10th grade,Less than high school,"2+ Races, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,201411.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201411.0,Married,201305.0,Married,201211.0,Married,201107.0,Married,201009.0,Married,200905.0,Divorced,200711.0
4319416,47,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,201306.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,Living with partner,201306.0,Living with partner,201208.0,Living with partner,201107.0,Living with partner,201005.0,Living with partner,200904.0,Living with partner,200710.0
4320771,83,75+,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$50,000 to $59,999",Widowed,201306.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,,,Widowed,201306.0,Married,201207.0,Married,201107.0,Married,201012.0,Married,200905.0,Married,200808.0
4321381,43,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$100,000 to $124,999",Married,201207.0,No,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,2,0,2,Working - as a paid employee,Yes,,,,,Married,201207.0,Married,201106.0,Married,201008.0,Married,201002.0,Married,200711.0
4322543,60,55-64,60+,12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$20,000 to $24,999",Divorced,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,Divorced,201405.0,Divorced,201305.0,Divorced,201206.0,Divorced,201108.0,Divorced,201007.0,Divorced,200904.0,Divorced,200710.0
4323515,56,55-64,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,0,1,A one-family house detached from any other house,"$25,000 to $29,999",Never married,200904.0,No,Metro,South,South Atlantic,rented for cash,0,0,0,0,1,Not working - looking for work,No,,,,,,,,,,,Never married,200904.0,Never married,200710.0
4324731,78,75+,60+,10th grade,Less than high school,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,200904.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,Married,200904.0,Married,200710.0
4325255,31,25-34,30-44,Associate degree,Some college,"Black, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$60,000 to $74,999",Never married,200904.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,1,0,3,Working - as a paid employee,Yes,,,,,,,,,,,Never married,200904.0,Never married,200801.0
4327613,66,65-74,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$100,000 to $124,999",Divorced,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,Divorced,201405.0,Divorced,201305.0,Divorced,201207.0,Divorced,201106.0,Divorced,201009.0,Divorced,200904.0,Divorced,200711.0
4328571,62,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house attached to one or more houses,"$30,000 to $34,999",Widowed,201406.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Widowed,201406.0,Widowed,201305.0,Widowed,201207.0,Widowed,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
4329541,59,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$35,000 to $39,999",Married,201109.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,3,Working - self-employed,Yes,,,,,,,Married,201109.0,Married,201009.0,Married,200904.0,Married,200809.0
4330621,68,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$50,000 to $59,999",Married,201107.0,No,Metro,Northeast,New England,Owned or being bought by you or someone in household,0,0,0,0,3,Not working - retired,Yes,,,,,,,Married,201107.0,Married,201008.0,Married,200904.0,Married,200711.0
4331731,79,75+,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,201411.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,No,Married,201411.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
4332581,64,55-64,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$175,000 or more",Married,201405.0,Yes,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
4333481,54,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$60,000 to $74,999",Married,201305.0,No,Metro,South,South Atlantic,rented for cash,0,1,1,0,2,Working - as a paid employee,Yes,,,Married,201305.0,Married,201206.0,Married,201107.0,Married,201008.0,Married,200904.0,Married,200710.0
4334513,56,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$25,000 to $29,999",Living with partner,200904.0,No,Metro,Midwest,East-North Central,rented for cash,0,0,0,0,2,Not working - disabled,No,,,,,,,,,,,Living with partner,200904.0,Divorced,200803.0
4335822,88,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$40,000 to $49,999",Widowed,200904.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,,,,,,,,,,,Widowed,200904.0,Widowed,200711.0
4336615,66,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$30,000 to $34,999",Never married,201106.0,No,non-Metro,Midwest,East-North Central,rented for cash,0,0,0,0,1,Not working - retired,No,,,,,,,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
4337643,69,65-74,60+,11th grade,Less than high school,"Black, Non-Hispanic",Female,0,1,A one-family house detached from any other house,"$5,000 to $7,499",Divorced,201405.0,Yes,Metro,South,West-South Central,rented for cash,0,0,0,0,1,Not working - retired,No,Divorced,201405.0,Divorced,201305.0,Divorced,201207.0,Divorced,201107.0,Divorced,201007.0,Divorced,200908.0,Divorced,200710.0
